cluster,term,freq
0,料理,29979
0,ない,28359
0,訪問,28056
0,今回,16327
0,コース,15374
0,美味しい,14065
0,店内,10205
0,カウンター,10048
0,ランチ,9692
0,伺い,9617
1,待ち,10025
1,時間,9331
1,訪問,9301
1,開店,9103
1,到着,8654
1,平日,8221
1,行列,5161
1,並び,4758
1,店内,4283
1,くらい,4027
2,予約,54528
2,訪問,12501
2,ない,9922
2,コース,5981
2,困難,5875
2,料理,5590
2,電話,5288
2,時間,5009
2,今回,4347
2,伺い,4092
3,東京,11904
3,たい,11743
3,もの,10237
3,ない,5650
3,料理,5394
3,訪問,4585
3,美味しい,3779
3,今回,2579
3,思い,2143
3,伺い,2103
4,人気,13170
4,予約,2874
4,訪問,2666
4,ない,2345
4,料理,1528
4,オープン,1434
4,行列,1311
4,カレー,1154
4,名店,1154
4,徒歩,1071
5,寿司,11412
5,ない,1806
5,予約,1718
5,訪問,1515
5,大将,1428
5,美味しい,1045
5,握り,994
5,名店,945
5,カウンター,820
5,今回,802
6,ラーメン,17265
6,醤油,3864
6,訪問,3018
6,スープ,2553
6,名店,2434
6,ない,2228
6,味噌,2010
6,そば,1794
6,チャーシュー,1524
6,注文,1455
7,ログ,14115
7,名店,8258
7,訪問,3309
7,評価,3292
7,受賞,2878
7,award,2836
7,bronze,2830
7,料理,2782
7,tabelog,2467
7,選出,2091
8,シェフ,10730
8,パン,8178
8,料理,5021
8,訪問,2354
8,ない,2061
8,フレンチ,1888
8,レストラン,1446
8,オープン,1312
8,予約,1260
8,コース,1236
