topic,term,weight
0,料理,38077.671107098955
0,京都,12672.596277896955
0,日本,11498.700469196569
0,東京,7802.414894633882
0,日本 料理,6080.628579908784
0,食材,5927.32114334114
0,中華,4182.743902064878
0,名店,3769.789971745697
0,和食,3153.218340960672
0,ミシュラン,3141.628115730925
1,ない,36320.33171435795
1,訪問,21485.492109772294
1,今回,13804.861847386634
1,美味しい,12382.062218526124
1,たい,11271.035621316687
1,料理,9168.972285261636
1,コース,8811.206809438412
1,なく,8135.560202088337
1,もの,7981.015610921345
1,思い,7860.800385594983
2,カレー,12264.892654791185
2,ケーキ,11779.31159399908
2,パン,9141.004502138941
2,購入,6820.3544084035375
2,美味しい,4259.818875811249
2,名店,3686.5481370484868
2,焼き,3636.626226746394
2,スイーツ,3538.149057466337
2,人気,3443.7995927101206
2,種類,3202.0147607636018
3,ラーメン,19826.944722355
3,訪問,16243.301545308113
3,時間,15505.50665514173
3,待ち,13284.233902019527
3,到着,13217.082036600175
3,開店,12952.234511101175
3,平日,12550.774958090664
3,うどん,11566.12471327286
3,行列,9471.517609470642
3,そば,9096.333070373721
4,ログ,21691.38707361551
4,名店,15208.242735787595
4,シェフ,10215.098211421937
4,オープン,7661.759964925154
4,評価,7376.638787144383
4,ミシュラン,5825.858286877408
4,フレンチ,5345.009941930704
4,レストラン,5311.442289246565
4,イタリアン,4699.374946038479
4,訪問,4209.634928736971
5,予約,68470.03746210327
5,訪問,11966.161132625284
5,コース,8519.94440367454
5,電話,7635.124282998094
5,ない,7444.129376148245
5,困難,7427.329993524282
5,焼肉,7419.348458000593
5,予約 困難,7094.4582062443915
5,時間,6147.128333845829
5,伺い,4472.979570036224
6,店内,16993.046664245634
6,カウンター,16705.284821036337
6,雰囲気,12299.65032127222
6,ランチ,11309.08053327914
6,場所,8398.03762405073
6,徒歩,8150.732881868634
6,訪問,7165.738551011027
6,伺い,5508.032104745719
6,ビル,4801.843138832092
6,通り,4471.341131771937
7,寿司,8917.198576554718
7,焼き,6738.329499984436
7,大将,5918.349017920234
7,握り,5484.087232393555
7,海老,4261.1555179225215
7,コース,4014.4447086421524
7,美味しい,3978.6431520278556
7,出汁,3207.420545845603
7,今回,3129.0533649106733
7,いただき,3027.100379990178
