cluster,term,freq
0,ブログ,1241
0,投稿,148
0,歩き,145
0,記事,121
0,詳しく,110
0,ラーメン,89
0,ご覧,86
0,テーマ,81
0,東急,79
0,沿線,79
1,餃子,29209
1,注文,3319
1,訪問,2755
1,焼き,2705
1,ない,2265
1,チャーハン,2096
1,名店,2062
1,浜松,1859
1,宇都宮,1706
1,ビール,1575
2,東京,32604
2,ラーメン,4993
2,訪問,4751
2,名店,4215
2,徒歩,3543
2,ない,3485
2,人気,2433
2,行列,2308
2,場所,2303
2,銀座,2259
3,ラーメン,110532
3,スープ,17555
3,訪問,13571
3,ない,13146
3,醤油,11889
3,味噌,11537
3,注文,10303
3,そば,8029
3,名店,7886
3,人気,7823
4,カレー,49245
4,訪問,5684
4,注文,4974
4,名店,4888
4,ない,4347
4,ランチ,3666
4,スープ,3585
4,チキン,3530
4,スパイス,3075
4,平日,2962
5,ない,54254
5,訪問,33974
5,美味しい,26691
5,ランチ,26148
5,注文,25468
5,そば,23997
5,店内,21829
5,名店,21667
5,たい,20363
5,スープ,20204
6,カツ,10236
6,定食,8654
6,ロース,6112
6,注文,3750
6,ヒレ,2588
6,訪問,2439
6,ランチ,2134
6,フライ,2093
6,メンチ,1765
6,ない,1697
7,訪問,46560
7,待ち,38052
7,平日,32919
7,店内,25594
7,時間,24669
7,行列,21536
7,到着,19890
7,開店,19082
7,くらい,17146
7,注文,16429
8,予約,30367
8,訪問,6317
8,ない,5088
8,時間,4217
8,ランチ,3765
8,平日,3363
8,店内,2911
8,人気,2483
8,コース,2367
8,電話,2231
9,うどん,38471
9,カレー,3753
9,訪問,3669
9,注文,3534
9,名店,3369
9,ない,2969
9,行列,2266
9,人気,2239
9,讃岐,2165
9,美味しい,2141
